Fetching aliases under hackavelliz
> aliases found under hackavelliz [457ms]
  source                                   url                                                                          age    
  main-r43vdd7kn-hackavelliz.vercel.app    main-irishmikeflaherty-4935-hackavelliz.vercel.app                           21h    
  main-r43vdd7kn-hackavelliz.vercel.app    www.tradehax.net                                                             24h    
  main-r43vdd7kn-hackavelliz.vercel.app    tradehax.net                                                                 24h    
  web-pvbzzdfae-hackavelliz.vercel.app     web-git-main-hackavelliz.vercel.app                                           1d    
  web-pvbzzdfae-hackavelliz.vercel.app     web-hackavelliz.vercel.app                                                    2d    
  web-lgj3qdhvf-hackavelliz.vercel.app     web-irishmikeflaherty-4935-hackavelliz.vercel.app                             2d    
  web-pvbzzdfae-hackavelliz.vercel.app     web-psi-nine-26.vercel.app                                                    2d    
  main-39q4x1u3r-hackavelliz.vercel.app    main-git-copilot-inspect-fix-deploy-polymarket-bot-hackavelliz.vercel.app     2d    
  main-gpi8izo72-hackavelliz.vercel.app    main-git-copilot-continue-task-completion-hackavelliz.vercel.app              5d    
  main-7gtn4sii3-hackavelliz.vercel.app    main-git-copilot-add-forward-looking-features-hackavelliz.vercel.app          5d    
  main-qy4f298j8-hackavelliz.vercel.app    main-git-copilot-optimize-web-performance-hackavelliz.vercel.app              5d    
  main-8erx6ozk5-hackavelliz.vercel.app    main-git-copilot-add-tradehax-features-hackavelliz.vercel.app                 9d    
  main-r43vdd7kn-hackavelliz.vercel.app    tradehaxai.me                                                                 9d    
  main-r43vdd7kn-hackavelliz.vercel.app    www.tradehaxai.me                                                             9d    
  main-r43vdd7kn-hackavelliz.vercel.app    tradehaxai.tech                                                               9d    
  main-r43vdd7kn-hackavelliz.vercel.app    www.tradehaxai.tech                                                           9d    
  main-r43vdd7kn-hackavelliz.vercel.app    main-hackavelliz.vercel.app                                                   9d    
  main-3a7ayxu0q-hackavelliz.vercel.app    main-git-main-hackavelliz.vercel.app                                          9d    

